step,layer,event,x,gate
0,L0,GATE_HOLD,50953666,G0_HOLD
0,L1,STEP_NORM,896030015,L1_N
0,L2,FLOW,896030015,L2_F
0,L3,KEEP,896030015,L3_K
1,L0,GATE_HOLD,896030015,G0_HOLD
1,L1,STEP_NORM,1965042553,L1_N
1,L2,FLOW,1965042553,L2_F
1,L3,KEEP,1965042553,L3_K
2,L0,GATE_HOLD,1965042553,G0_HOLD
2,L1,STEP_NORM,76025388,L1_N
2,L2,FLOW,76025388,L2_F
2,L3,KEEP,76025388,L3_K
3,L0,GATE_HOLD,76025388,G0_HOLD
3,L1,STEP_NORM,71835236,L1_N
3,L2,FLOW,71835236,L2_F
3,L3,KEEP,71835236,L3_K
4,L0,GATE_HOLD,71835236,G0_HOLD
4,L1,STEP_NORM,827332157,L1_N
4,L2,FLOW,827332157,L2_F
4,L3,KEEP,827332157,L3_K
5,L0,GATE_HOLD,827332157,G0_HOLD
5,L1,STEP_NORM,370064291,L1_N
5,L2,FLOW,370064291,L2_F
5,L3,KEEP,370064291,L3_K
6,L0,GATE_PASS,370064291,G0_OK
6,L1,STEP_NORM,1686387730,L1_N
6,L2,FLOW,1686387730,L2_F
6,L3,KEEP,1686387730,L3_K
7,L0,GATE_HOLD,1686387730,G0_HOLD
7,L1,STEP_NORM,512212310,L1_N
7,L2,FLOW,512212310,L2_F
7,L3,KEEP,512212310,L3_K
8,L0,GATE_HOLD,512212310,G0_HOLD
8,L1,STEP_NORM,570457931,L1_N
8,L2,FLOW,570457931,L2_F
8,L3,KEEP,570457931,L3_K
9,L0,GATE_HOLD,570457931,G0_HOLD
9,L1,STEP_NORM,536984221,L1_N
9,L2,FLOW,536984221,L2_F
9,L3,KEEP,536984221,L3_K
10,L0,GATE_HOLD,536984221,G0_HOLD
10,L1,STEP_NORM,1510406280,L1_N
10,L2,FLOW,1510406280,L2_F
10,L3,KEEP,1510406280,L3_K
11,L0,GATE_HOLD,1510406280,G0_HOLD
11,L1,STEP_NORM,903999384,L1_N
11,L2,FLOW,903999384,L2_F
11,L3,KEEP,903999384,L3_K
12,L0,GATE_PASS,903999384,G0_OK
12,L1,STEP_NORM,801374569,L1_N
12,L2,FLOW,801374569,L2_F
