step,layer,event,x,gate
0,L0,GATE_HOLD,50953665,G0_HOLD
0,L1,STEP_NORM,1939998418,L1_N
0,L2,FLOW,1939998418,L2_F
0,L3,KEEP,1939998418,L3_K
1,L0,GATE_HOLD,1939998418,G0_HOLD
1,L1,STEP_NORM,847089936,L1_N
1,L2,FLOW,847089936,L2_F
1,L3,KEEP,847089936,L3_K
2,L0,GATE_HOLD,847089936,G0_HOLD
2,L1,STEP_NORM,67785079,L1_N
2,L2,FLOW,67785079,L2_F
2,L3,KEEP,67785079,L3_K
3,L0,GATE_HOLD,67785079,G0_HOLD
3,L1,STEP_NORM,373399379,L1_N
3,L2,FLOW,373399379,L2_F
3,L3,KEEP,373399379,L3_K
4,L0,GATE_HOLD,373399379,G0_HOLD
4,L1,STEP_NORM,1169083904,L1_N
4,L2,FLOW,1169083904,L2_F
4,L3,KEEP,1169083904,L3_K
5,L0,GATE_HOLD,1169083904,G0_HOLD
5,L1,STEP_NORM,1110598570,L1_N
5,L2,FLOW,1110598570,L2_F
5,L3,EXIT,1110598570,L3_E
