step,layer,event,x,gate
0,L0,GATE_PASS,1467758543,G0_OK
0,L1,STEP_NORM,1375681726,L1_N
0,L2,FLOW,1375681726,L2_F
0,L3,KEEP,1375681726,L3_K
1,L0,GATE_HOLD,1375681726,G0_HOLD
1,L1,STEP_NORM,1730357378,L1_N
1,L2,FLOW,1730357378,L2_F
1,L3,KEEP,1730357378,L3_K
2,L0,GATE_HOLD,1730357378,G0_HOLD
2,L1,STEP_NORM,1994146551,L1_N
2,L2,FLOW,1994146551,L2_F
2,L3,KEEP,1994146551,L3_K
3,L0,GATE_HOLD,1994146551,G0_HOLD
3,L1,STEP_NORM,976891081,L1_N
3,L2,FLOW,976891081,L2_F
3,L3,KEEP,976891081,L3_K
4,L0,GATE_HOLD,976891081,G0_HOLD
4,L1,STEP_ACCEL,820033332,L1_A
4,L2,FLOW,820033332,L2_F
4,L3,EXIT,820033332,L3_E
