step,layer,event,x,gate
0,L0,GATE_HOLD,50953664,G0_HOLD
0,L1,STEP_NORM,836483173,L1_N
0,L2,FLOW,836483173,L2_F
0,L3,KEEP,836483173,L3_K
1,L0,GATE_PASS,836483173,G0_OK
1,L1,STEP_NORM,1876620967,L1_N
1,L2,FLOW,1876620967,L2_F
1,L3,KEEP,1876620967,L3_K
2,L0,GATE_HOLD,1876620967,G0_HOLD
2,L1,STEP_NORM,59544770,L1_N
2,L2,FLOW,59544770,L2_F
2,L3,KEEP,59544770,L3_K
3,L0,GATE_HOLD,59544770,G0_HOLD
3,L1,STEP_NORM,674963522,L1_N
3,L2,FLOW,674963522,L2_F
3,L3,KEEP,674963522,L3_K
4,L0,GATE_HOLD,674963522,G0_HOLD
4,L1,STEP_ACCEL,1510835651,L1_A
4,L2,FLOW,1510835651,L2_F
4,L3,KEEP,1510835651,L3_K
5,L0,GATE_HOLD,1510835651,G0_HOLD
5,L1,STEP_NORM,1851132849,L1_N
5,L2,FLOW,1851132849,L2_F
5,L3,KEEP,1851132849,L3_K
6,L0,GATE_HOLD,1851132849,G0_HOLD
6,L1,STEP_NORM,773428744,L1_N
6,L2,FLOW,773428744,L2_F
6,L3,KEEP,773428744,L3_K
7,L0,GATE_HOLD,773428744,G0_HOLD
7,L1,STEP_NORM,2127298324,L1_N
7,L2,FLOW,2127298324,L2_F
7,L3,KEEP,2127298324,L3_K
8,L0,GATE_HOLD,2127298324,G0_HOLD
8,L1,STEP_NORM,34365745,L1_N
8,L2,FLOW,34365745,L2_F
8,L3,KEEP,34365745,L3_K
9,L0,GATE_HOLD,34365745,G0_HOLD
9,L1,STEP_NORM,1103691147,L1_N
9,L2,FLOW,1103691147,L2_F
9,L3,KEEP,1103691147,L3_K
10,L0,GATE_HOLD,1103691147,G0_HOLD
10,L1,STEP_NORM,609680350,L1_N
10,L2,FLOW,609680350,L2_F
10,L3,KEEP,609680350,L3_K
11,L0,GATE_HOLD,609680350,G0_HOLD
11,L1,STEP_NORM,628854582,L1_N
11,L2,FLOW,628854582,L2_F
11,L3,KEEP,628854582,L3_K
12,L0,GATE_HOLD,628854582,G0_HOLD
12,L1,STEP_NORM,352525231,L1_N
12,L2,REFUSAL,352525231,L2_R
12,L2,REROUTE,352535325,L2_RR
12,L3,KEEP,352535325,L3_K
13,L0,GATE_HOLD,352535325,G0_HOLD
13,L1,STEP_NORM,910497547,L1_N
13,L2,FLOW,910497547,L2_F
13,L3,KEEP,910497547,L3_K
14,L0,GATE_PASS,910497547,G0_OK
14,L1,STEP_NORM,1173542754,L1_N
14,L2,FLOW,1173542754,L2_F
14,L3,KEEP,1173542754,L3_K
15,L0,GATE_HOLD,1173542754,G0_HOLD
15,L1,STEP_NORM,1037188718,L1_N
15,L2,FLOW,1037188718,L2_F
15,L3,KEEP,1037188718,L3_K
16,L0,GATE_HOLD,1037188718,G0_HOLD
16,L1,STEP_NORM,413058699,L1_N
16,L2,FLOW,413058699,L2_F
16,L3,KEEP,413058699,L3_K
17,L0,GATE_HOLD,413058699,G0_HOLD
17,L1,STEP_NORM,916164837,L1_N
17,L2,FLOW,916164837,L2_F
17,L3,EXIT,916164837,L3_E
